timestamps,open,high,low,close,volume,amount
2021-05-28,250.995,252.08,249.56,249.68,18265642.0,4560565494.56
2021-06-01,251.23,251.29,246.96,247.4,23213310.0,5742972894.0
2021-06-02,248.125,249.27,245.84,247.3,19406705.0,4799278146.5
2021-06-03,245.22,246.34,243.0,245.71,25108111.0,6169313953.81
2021-06-04,247.76,251.65,247.51,250.79,25281094.0,6340245564.26
2021-06-07,249.98,254.09,249.81,253.81,23079167.0,5857723376.27
2021-06-08,255.16,256.01,252.51,252.57,22454998.0,5671458844.86
2021-06-09,253.81,255.53,253.21,253.59,17937634.0,4548804606.06
2021-06-10,254.29,257.46,253.67,257.24,24563619.0,6318745351.56
2021-06-11,257.985,258.4868,256.61,257.89,18949731.0,4886946127.59
2021-06-14,257.9,259.95,256.8,259.89,19150507.0,4977025264.23
2021-06-15,259.775,259.99,257.68,258.36,18016931.0,4654854293.16
2021-06-16,259.4,260.58,254.42,257.38,27219955.0,7005872017.9
2021-06-17,256.065,261.75,256.01,260.9,27565537.0,7191848603.299999
2021-06-18,259.63,262.3,258.75,259.43,37162767.0,9641136642.81
2021-06-21,259.82,263.52,257.92,262.63,26696119.0,7011201732.97
2021-06-22,262.72,265.79,262.4,265.51,24694090.0,6556527835.9
2021-06-23,265.99,266.83,264.43,265.275,19518681.0,5177818102.275
2021-06-24,266.16,267.85,265.47,266.69,21346867.0,5692995960.23
2021-06-25,266.23,267.25,264.76,265.02,23891113.0,6331622767.259999
2021-06-28,266.185,268.9,265.91,268.72,19590024.0,5264231249.280001
2021-06-29,268.865,271.65,267.98,271.4,19921311.0,5406643805.4
2021-06-30,270.69,271.3598,269.6043,270.9,21547257.0,5837151921.299999
2021-07-01,269.61,271.84,269.6,271.6,16725323.0,4542597726.8
2021-07-02,272.82,278.0,272.5,277.65,26474408.0,7350619381.2
2021-07-06,278.03,279.3698,274.3,277.66,31565556.0,8764492278.960001
2021-07-07,279.4,280.6945,277.15,279.93,23260031.0,6511180477.83
2021-07-08,276.9,278.73,274.87,277.42,24605941.0,6826180152.22
2021-07-09,275.72,278.05,275.32,277.94,23676665.0,6580692270.1
2021-07-12,279.157,279.77,276.58,277.32,18931695.0,5250137657.4
2021-07-13,277.52,282.8477,277.39,280.98,26120128.0,7339233565.440001
2021-07-14,282.345,283.66,280.55,282.51,23113662.0,6529840651.62
2021-07-15,282.0,282.51,279.83,281.03,22604227.0,6352465913.809999
2021-07-16,282.07,284.1,279.46,280.75,26186848.0,7351957576.0
2021-07-19,278.9335,280.37,274.45,277.01,32935634.0,9123499974.34
2021-07-20,278.03,280.97,276.26,279.32,26259741.0,7334870856.12
2021-07-21,278.905,281.52,277.29,281.4,24364320.0,6856119647.999999
2021-07-22,283.84,286.42,283.42,286.14,23384059.0,6691114642.259999
2021-07-23,287.37,289.99,286.5,289.67,22767371.0,6595024357.570001
2021-07-26,289.0,289.69,286.642,289.05,23153573.0,6692540275.650001
2021-07-27,289.43,289.575,282.95,286.54,33592179.0,9625502970.66
2021-07-28,288.99,290.15,283.8303,286.22,33506853.0,9590331465.660002
2021-07-29,286.235,288.618,286.08,286.5,18168294.0,5205216231.0
2021-07-30,285.17,286.66,283.91,284.91,20944846.0,5967396073.860001
2021-08-02,286.36,286.775,283.74,284.82,16261757.0,4631673628.74
2021-08-03,285.42,287.23,284.0,287.12,17879048.0,5133432261.76
2021-08-04,286.22,287.5883,284.65,286.51,16187331.0,4637832204.809999
2021-08-05,286.88,289.63,286.1,289.52,13900167.0,4024376349.84
2021-08-06,288.505,289.5,287.6238,289.46,16589336.0,4801949198.559999
2021-08-09,289.75,291.55,287.81,288.33,16117629.0,4647195969.57
2021-08-10,288.8,289.25,285.2,286.44,18616578.0,5332532602.32
2021-08-11,287.21,288.66,285.86,286.95,13955934.0,4004655261.3
2021-08-12,286.63,289.97,286.34,289.81,14570391.0,4222645015.71
2021-08-13,289.48,292.9,289.3,292.85,18249046.0,5344233121.1
2021-08-16,293.19,294.82,290.02,294.6,22516027.0,6633221554.200001
2021-08-17,292.39,293.43,291.08,293.08,20075250.0,5883654270.0
2021-08-18,292.04,294.82,290.27,290.73,21619885.0,6285549166.05
2021-08-19,288.6935,297.47,288.64,296.77,29850461.0,8858721310.97
2021-08-20,299.72,305.84,298.06,304.36,40815006.0,12422455226.16
2021-08-23,303.245,305.4,301.85,304.65,22820157.0,6952160830.049999
2021-08-24,305.02,305.65,302.0035,302.62,18153274.0,5493543777.88
2021-08-25,304.3,304.59,300.42,302.01,19906057.0,6011828274.57
2021-08-26,300.99,302.429,298.95,299.09,17666084.0,5283749063.559999
2021-08-27,298.987,300.87,296.83,299.72,22605726.0,6775388196.72
2021-08-30,301.115,304.22,301.06,303.59,16348072.0,4963111178.48
2021-08-31,304.42,304.5,301.5,301.88,26274238.0,7931666967.44
2021-09-01,302.865,305.19,301.49,301.83,18914026.0,5708820467.58
2021-09-02,302.2,303.3602,300.18,301.15,16290545.0,4905897626.75
2021-09-03,300.99,302.6,300.26,301.14,14751609.0,4442299534.26
2021-09-07,301.005,301.09,298.2,300.18,17369332.0,5213926079.76
2021-09-08,299.78,300.61,297.4651,300.21,15046819.0,4517205531.99
2021-09-09,300.82,302.14,297.0,297.25,19927000.0,5923300750.0
2021-09-10,298.415,299.92,295.38,295.71,19633363.0,5805781772.73
2021-09-13,297.55,298.54,294.08,296.99,23931707.0,7107477661.93
2021-09-14,299.56,301.39,298.1,299.79,22189292.0,6652127848.68
2021-09-15,303.26,305.32,301.82,304.82,28728377.0,8756983877.14
2021-09-16,303.76,305.31,300.76,305.22,19550815.0,5967299754.3
2021-09-17,304.17,304.5,299.53,299.87,41372456.0,12406358380.72
2021-09-20,296.33,298.72,289.52,294.3,38278661.0,11265409932.3
2021-09-21,295.69,297.54,294.07,294.8,22364103.0,6592937564.400001
2021-09-22,296.725,300.22,294.51,298.58,26626342.0,7950093194.36
2021-09-23,298.845,300.9,297.5339,299.56,18604601.0,5573194275.56
2021-09-24,298.23,299.8,296.93,299.35,14998978.0,4489944064.3
2021-09-27,296.14,296.47,292.9449,294.17,23559276.0,6930432220.92
